Course,Lec,CG,WG,SQ,PreMean,PreStd,PostMean,PostStd,Effect Size,N,Field
1a,0.929,0.121,0.000,0.141,0.43,0.151,0.561,0.19,0.7633521962,238,Astro
1b,0.878,0.041,0.122,0.041,0.408,0.148,0.563,0.17,0.9725182106,143,Astro
2a,0.513,0.295,0.000,0.064,0.511,0.191,0.651,0.206,0.704786781,103,Physics
2b,0.544,0.367,0.000,0.051,0.534,0.182,0.625,0.232,0.4364420548,128,Physics
3a,0.275,0.157,0.000,0.137,0.39,0.2,0.609,0.22,1.041676772,176,Physics
3b,0.061,0.184,0.000,0.143,0.39,0.2,0.558,0.224,0.7911863683,175,Physics
4a,0.365,0.500,0.000,0.135,0.316,0.153,0.447,0.216,0.6998995758,175,Physics
4b,0.377,0.506,0.000,0.143,0.378,0.154,0.556,0.246,0.8673541161,175,Physics
4c,0.368,0.461,0.000,0.171,0.319,0.163,0.466,0.235,0.7268948786,175,Physics
4d,0.551,0.551,0.000,0.051,0.37,0.16,0.543,0.261,0.7991763881,175,Physics
4e,0.500,0.462,0.000,0.141,0.328,0.154,0.503,0.242,0.8627915936,175,Physics
5a,0.962,0.000,0.000,0.154,0.45,0.15,0.6,0.16,0.9672388203,29,Physics
